,city,latitude,temperature,humidity,cloudiness,windspeed,data_retrieval_date
149,cayenne,4.94,77.0,100.0,76.0,7.76,1532307600.0
150,inhambane,-23.87,69.51,93.0,88.0,14.81,1532310052.0
151,broken hill,-31.97,61.59,48.0,8.0,23.42,1532309799.0
153,fonte boa,-2.51,75.54,93.0,0.0,2.95,1532310053.0
154,portland,45.52,92.93,20.0,20.0,12.75,1532307180.0
155,san carlos de bariloche,-41.13,30.2,68.0,20.0,11.41,1532307600.0
156,bambous virieux,-20.34,69.8,60.0,40.0,10.29,1532307600.0
157,port hardy,50.7,62.6,72.0,20.0,11.41,1532307600.0
158,bomet,-0.78,52.59,88.0,44.0,10.22,1532310055.0
159,ixtapa,20.71,87.8,79.0,75.0,9.17,1532306940.0
160,neuquen,-38.95,37.4,59.0,0.0,5.82,1532307600.0
161,hasaki,35.73,90.45,52.0,75.0,3.36,1532307600.0
162,eureka,40.8,59.0,87.0,1.0,4.7,1532307300.0
163,christiana,-27.91,35.04,69.0,0.0,4.74,1532310056.0
164,ixtlan,20.18,68.88,62.0,0.0,4.41,1532310057.0
166,ilulissat,69.22,39.2,86.0,75.0,2.24,1532307000.0
167,spas-klepiki,55.13,64.11,91.0,88.0,15.93,1532310058.0
168,chihuahua,28.66,98.6,18.0,40.0,6.93,1532306580.0
169,grand gaube,-20.01,69.8,60.0,40.0,10.29,1532307600.0
170,saint george,39.45,80.6,30.0,0.0,9.17,1532307000.0
171,moche,-8.17,64.4,88.0,90.0,6.93,1532307600.0
172,poretskoye,55.2,64.2,70.0,92.0,9.44,1532310059.0
173,mabaruma,8.2,78.24,94.0,92.0,7.43,1532310060.0
174,antofagasta,-23.65,55.4,76.0,90.0,2.24,1532307600.0
175,sao filipe,14.9,75.18,99.0,36.0,10.89,1532310060.0
176,nuuk,64.17,41.16,100.0,0.0,3.74,1532309800.0
177,ponta delgada,37.73,69.8,77.0,20.0,4.7,1532307600.0
178,bintulu,3.17,84.2,83.0,75.0,3.36,1532307600.0
179,rock sound,24.9,83.19,100.0,56.0,8.55,1532310061.0
180,severo-kurilsk,50.68,51.69,95.0,88.0,14.03,1532310062.0
182,otanche,5.66,68.25,85.0,36.0,0.94,1532310062.0
183,bay-khaak,51.16,69.24,59.0,0.0,2.51,1532310063.0
184,mahebourg,-20.41,69.8,60.0,40.0,10.29,1532307600.0
185,nohar,29.18,83.64,100.0,24.0,4.97,1532310060.0
187,loandjili,-4.77,69.8,100.0,75.0,4.7,1532307600.0
188,north platte,41.12,80.6,78.0,1.0,10.29,1532307180.0
189,dikson,73.51,38.64,100.0,20.0,11.01,1532310064.0
190,nome,30.04,85.96,70.0,1.0,5.82,1532308500.0
191,vredendal,-31.68,61.95,34.0,20.0,8.55,1532310065.0
192,awjilah,29.14,72.3,43.0,0.0,5.41,1532310066.0
193,cherskiy,68.75,62.13,41.0,44.0,7.2,1532310066.0
194,ratnagiri,16.98,77.43,100.0,92.0,15.82,1532310066.0
195,mount isa,-20.73,71.6,12.0,0.0,1.12,1532307600.0
196,grindavik,63.84,47.35,100.0,90.0,4.7,1532307600.0
197,shenjiamen,29.96,81.48,98.0,76.0,17.83,1532310067.0
198,pallasovka,50.04,73.65,74.0,48.0,10.33,1532309769.0
199,karakol,42.49,71.67,36.0,36.0,1.83,1532310068.0
200,fortuna,38.18,75.2,88.0,0.0,1.12,1532309400.0
201,puerto escondido,15.86,86.0,74.0,75.0,7.31,1532306460.0
202,tra vinh,9.93,86.52,79.0,48.0,13.35,1532310069.0
203,naze,5.43,77.0,94.0,40.0,4.97,1532307600.0
204,luderitz,-26.65,58.08,61.0,36.0,4.85,1532310070.0
205,manicore,-5.81,75.99,81.0,0.0,1.95,1532310070.0
206,praia da vitoria,38.73,71.6,88.0,75.0,12.68,1532307600.0
207,kaitangata,-46.28,43.59,99.0,92.0,12.35,1532310071.0
208,thompson,55.74,64.4,82.0,90.0,5.82,1532307600.0
209,puerto carreno,6.19,68.79,100.0,92.0,2.51,1532310071.0
210,cafarnaum,-11.69,61.32,81.0,0.0,11.56,1532310072.0
211,gawler,-34.6,64.4,71.0,75.0,20.8,1532309400.0
212,los llanos de aridane,28.66,71.6,73.0,44.0,16.11,1532309400.0
213,kandrian,-6.21,80.67,80.0,80.0,7.65,1532310073.0
214,winnemucca,40.97,96.8,13.0,1.0,6.93,1532307360.0
215,arona,45.76,60.03,77.0,20.0,3.36,1532307300.0
216,winslow,51.94,65.59,77.0,20.0,1.12,1532308800.0
217,zeya,53.74,67.98,89.0,88.0,2.95,1532310074.0
218,atambua,-9.11,82.47,80.0,20.0,6.53,1532310074.0
219,villers-les-nancy,48.67,63.21,72.0,0.0,2.24,1532309400.0
220,adeje,5.68,74.82,98.0,88.0,3.62,1532310076.0
221,gwadar,25.12,73.4,94.0,75.0,6.93,1532307600.0
222,narsaq,60.91,46.4,75.0,0.0,8.05,1532307000.0
223,dicabisagan,17.08,84.9,93.0,88.0,3.06,1532310076.0
224,kimbe,-5.56,82.47,98.0,88.0,7.76,1532310077.0
225,haverfordwest,51.8,64.4,100.0,92.0,8.05,1532307000.0
226,manokwari,-0.87,81.84,100.0,88.0,6.2,1532310077.0
227,perth,56.4,63.27,88.0,90.0,4.7,1532308800.0
228,carnarvon,-30.97,46.92,52.0,8.0,13.47,1532310078.0
229,jiehu,35.54,77.16,98.0,92.0,10.22,1532310078.0
230,bathsheba,13.22,80.6,69.0,40.0,16.11,1532307600.0
231,comodoro rivadavia,-45.87,39.2,60.0,0.0,10.29,1532307600.0
232,east london,-33.02,69.15,96.0,0.0,13.8,1532310079.0
233,fort frances,48.61,73.4,73.0,1.0,4.7,1532307300.0
234,nouadhibou,20.93,71.6,78.0,12.0,18.34,1532307600.0
235,cidreira,-30.17,56.64,92.0,92.0,4.97,1532310080.0
236,karratha,-20.74,75.18,51.0,0.0,7.09,1532310081.0
237,egvekinot,66.32,53.13,86.0,80.0,3.4,1532310081.0
239,kerchevskiy,59.95,67.26,54.0,0.0,3.4,1532310081.0
240,kilindoni,-7.91,75.72,98.0,88.0,19.28,1532310082.0
241,bo phloi,14.32,87.42,63.0,80.0,10.0,1532310082.0
242,erdenet,49.03,67.8,78.0,0.0,3.62,1532310082.0
243,burnie,-41.05,51.15,100.0,92.0,28.9,1532310083.0
245,tarata,-17.47,32.79,85.0,0.0,2.51,1532310083.0
246,belaya gora,68.54,64.74,63.0,92.0,4.29,1532310084.0
247,bud,62.91,57.16,87.0,80.0,9.17,1532308800.0
248,creel,27.75,70.32,46.0,88.0,0.72,1532310084.0
249,tual,-5.67,79.32,99.0,68.0,15.03,1532310085.0
250,khargone,21.82,74.64,98.0,92.0,11.68,1532310085.0
251,brownwood,31.71,99.93,16.0,1.0,4.7,1532308500.0
252,pathein,16.78,83.37,88.0,92.0,6.98,1532310086.0
253,kieta,-6.22,78.15,100.0,88.0,4.07,1532310086.0
254,vicente guerrero,16.93,77.0,36.0,75.0,13.87,1532306580.0
255,moron,10.49,74.53,94.0,75.0,2.28,1532307600.0
256,garowe,8.41,75.54,57.0,0.0,17.94,1532310087.0
258,namtsy,62.72,59.25,90.0,92.0,11.01,1532310087.0
259,lalibela,12.04,52.23,98.0,92.0,1.61,1532310088.0
260,villa carlos paz,-31.42,44.6,26.0,0.0,10.29,1532307600.0
261,sangolqui,-0.33,51.8,87.0,75.0,11.41,1532307600.0
263,longyearbyen,78.22,44.6,87.0,75.0,3.36,1532307000.0
264,juneau,58.3,76.77,47.0,1.0,8.05,1532307360.0
265,tucuman,-17.17,51.42,74.0,0.0,1.83,1532310089.0
266,kozachi laheri,46.71,63.12,87.0,0.0,2.73,1532310090.0
267,olga,34.11,88.02,38.0,1.0,6.93,1532307360.0
268,rawson,-43.3,26.31,68.0,0.0,7.31,1532310090.0
269,henties bay,-22.12,61.32,78.0,0.0,7.09,1532309981.0
270,provideniya,64.42,53.6,81.0,90.0,8.95,1532307600.0
271,ribeira grande,38.52,71.94,100.0,100.0,15.26,1532310091.0
274,lavrentiya,65.58,45.21,91.0,92.0,4.63,1532310092.0
275,kiama,-34.67,57.2,33.0,0.0,12.75,1532307600.0
276,port-gentil,-0.72,73.29,99.0,92.0,12.35,1532310093.0
277,tierralta,8.17,77.25,89.0,80.0,13.02,1532310093.0
278,aksarka,66.56,73.47,46.0,44.0,7.09,1532310094.0
279,dejen,10.16,57.99,100.0,92.0,1.72,1532310094.0
280,colares,38.8,64.4,82.0,20.0,9.17,1532309400.0
281,malabo,1.56,55.11,89.0,8.0,2.17,1532310095.0
282,manzhouli,49.6,73.11,58.0,0.0,11.68,1532310095.0
283,ancud,-41.87,43.77,95.0,92.0,4.63,1532310095.0
284,hofn,64.25,48.72,100.0,92.0,8.1,1532310096.0
285,deogarh,21.53,75.27,99.0,92.0,8.88,1532310096.0
286,phalodi,27.13,84.99,71.0,88.0,6.42,1532310096.0
287,geraldton,49.72,71.6,53.0,5.0,9.17,1532307600.0
288,chipinge,-20.19,51.87,96.0,36.0,2.84,1532310097.0
289,antalaha,-14.9,68.25,97.0,36.0,17.16,1532309808.0
290,ponta do sol,-20.63,58.89,62.0,32.0,5.75,1532310097.0
291,jamui,24.93,79.59,91.0,92.0,20.85,1532310098.0
292,fairbanks,64.84,87.17,22.0,1.0,2.17,1532307480.0
293,velsk,61.07,64.2,65.0,0.0,9.1,1532310098.0
295,buala,-8.15,83.82,83.0,80.0,8.32,1532310099.0
296,rodrigues alves,-7.74,71.6,88.0,0.0,3.51,1532307600.0
297,troitsko-pechorsk,62.71,68.25,60.0,0.0,3.4,1532310099.0
298,norfolk,36.85,80.24,83.0,90.0,8.05,1532309460.0
299,barreirinhas,-2.75,73.74,94.0,20.0,2.95,1532310100.0
300,namatanai,-3.66,75.99,100.0,92.0,5.97,1532310100.0
301,balakhta,55.38,61.86,86.0,36.0,8.88,1532310101.0
302,cap malheureux,-19.98,69.8,60.0,40.0,10.29,1532307600.0
303,lompoc,34.64,71.38,64.0,1.0,13.87,1532307780.0
304,kutum,14.2,80.85,45.0,32.0,14.7,1532310102.0
305,svarstad,59.4,59.94,100.0,0.0,6.93,1532308800.0
306,ranong,9.96,80.6,94.0,40.0,4.7,1532307600.0
307,emerald,-23.53,73.65,31.0,0.0,7.09,1532310103.0
308,sitka,37.17,90.12,36.0,56.0,14.58,1532310103.0
309,vitim,59.44,55.92,72.0,68.0,3.18,1532310103.0
310,saldanha,41.42,59.34,75.0,0.0,5.53,1532310104.0
311,seoul,37.57,88.54,55.0,75.0,4.7,1532307600.0
313,kuandian,40.73,86.43,71.0,8.0,3.62,1532310104.0
314,itaituba,-4.26,75.54,81.0,0.0,1.72,1532310105.0
315,kupang,-10.16,84.2,51.0,20.0,13.87,1532307600.0
316,kosino,58.41,59.61,76.0,0.0,8.99,1532310105.0
317,kalmunai,7.42,86.61,62.0,36.0,3.62,1532310106.0
318,pevek,69.7,49.8,83.0,8.0,6.31,1532310106.0
319,hamilton,43.26,69.46,88.0,75.0,5.82,1532307600.0
320,saint anthony,43.97,83.61,20.0,1.0,9.17,1532307360.0
321,anori,-3.74,81.57,56.0,32.0,4.07,1532310107.0
322,khammam,17.25,76.08,97.0,92.0,9.33,1532310108.0
324,madison,43.07,71.85,73.0,1.0,3.36,1532309700.0
325,broome,52.47,63.01,87.0,68.0,2.24,1532308800.0
326,souillac,45.6,61.61,88.0,0.0,2.24,1532309400.0
328,kununurra,-15.77,82.4,12.0,0.0,9.17,1532309400.0
329,goundam,16.42,82.47,66.0,20.0,8.21,1532310109.0
330,veseloyarsk,51.29,63.03,91.0,100.0,10.22,1532310110.0
332,touros,-5.2,75.09,83.0,32.0,18.84,1532310110.0
333,ternate,14.29,78.8,100.0,90.0,6.93,1532307600.0
335,isangel,-19.55,71.4,100.0,80.0,14.92,1532310111.0
336,cruzeiro do sul,-7.63,71.6,88.0,0.0,3.51,1532307600.0
